word;ipa;parameter;description;alternative;comment;translation;glottocode;notes
nan;;1sg_a;1st (excl) Person Singular;;;;kelo1247;
nan;;1sg_s;1st (excl) Person Singular;;;;kelo1247;
n-, no-, nin=, ne-;;1sg_s;1st (excl) Person Singular;;;;kelo1247;
n-, no-, nin=, ne-;;1sg_o;1st (excl) Person Singular;;;;kelo1247;
ne;;1sg_p;1st (excl) Person Singular;;;;kelo1247;
nəgəle;;1du_a;1st (excl) Person Dual;;;;kelo1247;
nəgəle,;;1du_s;1st (excl) Person Dual;;;;kelo1247;
nəgəle nəg-, nəgəle nəgo-, nəgəle nəgin=, nəgəle nəge-;;1du_s;1st (excl) Person Dual;;;;kelo1247;
nəgəle nəg-, nəgəle nəgo-, nəgəle nəgin=, nəgəle nəge-;;1du_o;1st (excl) Person Dual;;;;kelo1247;
nəgəle nəge;;1du_p;1st (excl) Person Dual;;;;kelo1247;
nəgi;;1pl_a;1st (excl) Person Plural;;;;kelo1247;
nəgi;;1pl_s;1st (excl) Person Plural;;;;kelo1247;
nəg-, nəgo-, nəgin=, nəge-;;1pl_s;1st (excl) Person Plural;;;;kelo1247;
nəg-, nəgo-, nəgin=, nəge-;;1pl_o;1st (excl) Person Plural;;;;kelo1247;
nəge;;1pl_p;1st (excl) Person Plural;;;;kelo1247;
pəle;;12du_a;1st (incl) Person Dual;;;;kelo1247;
pəle;;12du_s;1st (incl) Person Dual;;;;kelo1247;
pəle t-, pəle to-, pəle tin=, pəle te-;;12du_s;1st (incl) Person Dual;;;;kelo1247;
pəle t-, pəle to-, pəle tin=, pəle te-;;12du_o;1st (incl) Person Dual;;;;kelo1247;
pəle pe;;12du_p;1st (incl) Person Dual;;;;kelo1247;
pin;;12pl_a;1st (incl) Person Plural;;;;kelo1247;
pin;;12pl_s;1st (incl) Person Plural;;;;kelo1247;
t-, to-, tin=, te-;;12pl_s;1st (incl) Person Plural;;;;kelo1247;
