word;ipa;parameter;description;alternative;comment;translation;glottocode;notes
den;;3p-p;3rd Person Plural;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3p-o;3rd Person Plural;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3p-s;3rd Person Plural;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3p-a;3rd Person Plural;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3d-p;3rd Person Dual;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3d-o;3rd Person Dual;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3d-s;3rd Person Dual;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
den;;3d-a;3rd Person Dual;;In certain contexts surfaces as ‘de’ by a regular phonological process of denasalization (Huttar and Huttar 1994:462). ;;ndyu1242;
a;;3sg_n_p;3rd Person Singular Neuter;;;;ndyu1242;
a;;3sg_n_o;3rd Person Singular Neuter;;;;ndyu1242;
a;;3sg_n_s;3rd Person Singular Neuter;;;;ndyu1242;
a;;3sg_n_a;3rd Person Singular Neuter;;;;ndyu1242;
a;;3sg_m_p;3rd Person Singular Masculine;;;;ndyu1242;
a;;3sg_m_o;3rd Person Singular Masculine;;;;ndyu1242;
a;;3sg_m_s;3rd Person Singular Masculine;;;;ndyu1242;
a;;3sg_m_a;3rd Person Singular Masculine;;;;ndyu1242;
u;;2pl_p;2nd Person Plural;;In certain contexts surfaces as ‘w’ by a regular phonological process of glide formation (Huttar and Huttar 1994:462). ;;ndyu1242;
u;;2pl_o;2nd Person Plural;;In certain contexts surfaces as ‘w’ by a regular phonological process of glide formation (Huttar and Huttar 1994:462). ;;ndyu1242;
u;;2pl_s;2nd Person Plural;;In certain contexts surfaces as ‘w’ by a regular phonological process of glide formation (Huttar and Huttar 1994:462). ;;ndyu1242;
