word;ipa;parameter;description;alternative;comment;translation;glottocode;notes
ŋaḓu;;1sg_a;1st (excl) Person Singular;;;;wang1291;
ŋaḓu;;1sg_s;1st (excl) Person Singular;;;;wang1291;
ŋaḓii;;1sg_o;1st (excl) Person Singular;;;;wang1291;
ŋaḓii;;1sg_p;1st (excl) Person Singular;;;;wang1291;
ŋaliina;;1du_a;1st (excl) Person Dual;;;;wang1291;
ŋaliina;;1du_s;1st (excl) Person Dual;;;;wang1291;
ŋaligiina;;1du_o;1st (excl) Person Dual;;;;wang1291;
ŋaligiina;;1du_p;1st (excl) Person Dual;;;;wang1291;
ŋiyanuna;;1pl_a;1st (excl) Person Plural;;;;wang1291;
ŋiyanuna;;1pl_s;1st (excl) Person Plural;;;;wang1291;
ŋiyanigiina;;1pl_o;1st (excl) Person Plural;;;;wang1291;
ŋiyanigiina;;1pl_p;1st (excl) Person Plural;;;;wang1291;
ŋalii;;12du_a;1st (incl) Person Dual;;;;wang1291;
ŋalii;;12du_s;1st (incl) Person Dual;;;;wang1291;
ŋaligiiN-;;12du_o;1st (incl) Person Dual;;;;wang1291;
ŋaligiiN-;;12du_p;1st (incl) Person Dual;;;;wang1291;
ŋiyanu;;12pl_a;1st (incl) Person Plural;;;;wang1291;
ŋiyanu;;12pl_s;1st (incl) Person Plural;;;;wang1291;
ŋiyanigiiN-;;12pl_o;1st (incl) Person Plural;;;;wang1291;
ŋiyanigiiN-;;12pl_p;1st (incl) Person Plural;;;;wang1291;
ŋindu;;2sg_a;2nd Person Singular;;;;wang1291;
ŋindu;;2sg_s;2nd Person Singular;;;;wang1291;
ŋinuu;;2sg_o;2nd Person Singular;;;;wang1291;
ŋinuu;;2sg_p;2nd Person Singular;;;;wang1291;
ŋindubulaa;;2du_a;2nd Person Dual;;;;wang1291;
ŋindubulaa;;2du_s;2nd Person Dual;;;;wang1291;
ŋinuubulaa;;2du_o;2nd Person Dual;;;;wang1291;
ŋinuubulaa;;2du_p;2nd Person Dual;;;;wang1291;
ŋindugal;;2pl_a;2nd Person Plural;;;;wang1291;
ŋindugal;;2pl_s;2nd Person Plural;;;;wang1291;
ŋinuugal;;2pl_o;2nd Person Plural;;;;wang1291;
ŋinuugal;;2pl_p;2nd Person Plural;;;;wang1291;
=lu;;3sg_m_a;3rd Person Singular Masculine;;;;wang1291;
=yu;;3sg_m_a;3rd Person Singular Masculine;;;;wang1291;
=niN-;;3sg_m_s;3rd Person Singular Masculine;;;;wang1291;
=naN-;;3sg_m_s;3rd Person Singular Masculine;;;;wang1291;
=niN-;;3sg_m_o;3rd Person Singular Masculine;;;;wang1291;
=naN-;;3sg_m_o;3rd Person Singular Masculine;;;;wang1291;
=luguN-;;3sg_m_p;3rd Person Singular Masculine;;;;wang1291;
=lu;;3sg_f_a;3rd Person Singular Feminine;;;;wang1291;
=yu;;3sg_f_a;3rd Person Singular Feminine;;;;wang1291;
=niN-;;3sg_f_s;3rd Person Singular Feminine;;;;wang1291;
=naN-;;3sg_f_s;3rd Person Singular Feminine;;;;wang1291;
=niN-;;3sg_f_o;3rd Person Singular Feminine;;;;wang1291;
=naN-;;3sg_f_o;3rd Person Singular Feminine;;;;wang1291;
=luguN-;;3sg_f_p;3rd Person Singular Feminine;;;;wang1291;
=lu;;3sg_n_a;3rd Person Singular Neuter;;;;wang1291;
