word;ipa;parameter;description;alternative;comment;translation;glottocode;notes
an;;1sg_a;1st (excl) Person Singular;;;;west2594;
an;;1sg_s;1st (excl) Person Singular;;;;west2594;
an;;1sg_o;1st (excl) Person Singular;;;;west2594;
n-;;1sg_p;1st (excl) Person Singular;;;;west2594;
no-;;1sg_p;1st (excl) Person Singular;;;;west2594;
ne-;;1sg_p;1st (excl) Person Singular;;;;west2594;
na-;;1sg_p;1st (excl) Person Singular;;;;west2594;
nit;;1du_a;1st (excl) Person Dual;;;;west2594;
nit;;1du_s;1st (excl) Person Dual;;;;west2594;
nit;;1du_o;1st (excl) Person Dual;;;;west2594;
nin-;;1du_p;1st (excl) Person Dual;;;;west2594;
nino-;;1du_p;1st (excl) Person Dual;;;;west2594;
nine-;;1du_p;1st (excl) Person Dual;;;;west2594;
nina-;;1du_p;1st (excl) Person Dual;;;;west2594;
nit;;1pl_a;1st (excl) Person Plural;;;;west2594;
nit;;1pl_s;1st (excl) Person Plural;;;;west2594;
nit;;1pl_o;1st (excl) Person Plural;;;;west2594;
nin-;;1pl_p;1st (excl) Person Plural;;;;west2594;
nino-;;1pl_p;1st (excl) Person Plural;;;;west2594;
nine-;;1pl_p;1st (excl) Person Plural;;;;west2594;
nina-;;1pl_p;1st (excl) Person Plural;;;;west2594;
nit;;12du_a;1st (incl) Person Dual;;;;west2594;
nit;;12du_s;1st (incl) Person Dual;;;;west2594;
nit;;12du_o;1st (incl) Person Dual;;;;west2594;
nin-;;12du_p;1st (incl) Person Dual;;;;west2594;
nino-;;12du_p;1st (incl) Person Dual;;;;west2594;
nine-;;12du_p;1st (incl) Person Dual;;;;west2594;
nina-;;12du_p;1st (incl) Person Dual;;;;west2594;
nit;;12pl_a;1st (incl) Person Plural;;;;west2594;
nit;;12pl_s;1st (incl) Person Plural;;;;west2594;
nit;;12pl_o;1st (incl) Person Plural;;;;west2594;
nin-;;12pl_p;1st (incl) Person Plural;;;;west2594;
nino-;;12pl_p;1st (incl) Person Plural;;;;west2594;
nine-;;12pl_p;1st (incl) Person Plural;;;;west2594;
nina-;;12pl_p;1st (incl) Person Plural;;;;west2594;
kat;;2sg_a;2nd Person Singular;;;;west2594;
kat;;2sg_s;2nd Person Singular;;;;west2594;
kat;;2sg_o;2nd Person Singular;;;;west2594;
k-;;2sg_p;2nd Person Singular;;;;west2594;
ko-;;2sg_p;2nd Person Singular;;;;west2594;
ke-;;2sg_p;2nd Person Singular;;;;west2594;
ka-;;2sg_p;2nd Person Singular;;;;west2594;
kit;;2du_a;2nd Person Dual;;;;west2594;
